customer_id,customer_name,city,state,signup_date
1,Olívia das Neves,Correia,MA,2024-11-28
2,Sr. Diego Sá,Gomes do Campo,AM,2024-12-27
3,Manuela Leão,da Luz da Praia,SC,2025-07-26
4,Mirella Pastor,Fogaça,PB,2025-12-01
5,Enrico Novaes,Sousa,PA,2025-04-03
6,Vitória Sousa,Carvalho,RS,2024-05-15
7,Théo Fogaça,Rezende do Amparo,RO,2025-09-20
8,Maria Fernanda Pinto,Ferreira do Campo,PB,2024-10-07
9,Nicole Freitas,Rios,TO,2025-08-29
10,Enzo Gabriel Alves,Santos do Norte,MT,2024-10-11
11,Pietra Guerra,Ribeiro,MS,2025-03-19
12,Dr. Levi Garcia,Lopes,AM,2024-05-13
13,Cecília Farias,Dias Alegre,AC,2024-07-01
14,Heitor Costa,Almeida de Barbosa,AL,2025-10-19
15,Sr. Guilherme Correia,Peixoto Paulista,PB,2025-03-27
16,Rhavi Almeida,Fernandes de Fernandes,AP,2025-09-18
17,João Lucas Martins,Vargas,MS,2026-02-24
18,Erick Cavalcante,da Costa,SP,2024-08-19
19,Dr. Gael Barbosa,Moraes da Mata,TO,2025-11-11
20,Felipe Moura,Rocha de Cavalcanti,ES,2024-04-20
21,Lara Nogueira,Silva,MA,2024-08-03
22,Aylla Rodrigues,Vasconcelos,PR,2025-04-23
23,João Costa,Costa da Praia,BA,2026-03-08
24,Luiza Brito,Sales,MG,2024-09-10
25,Valentina Moreira,Cunha de Fogaça,SE,2025-12-15
26,Lavínia da Rocha,Gomes,SC,2025-11-04
27,Pedro Lucas Mendes,Costa,PR,2025-02-08
28,Sabrina da Rosa,da Rosa de Casa Grande,AC,2025-01-21
29,Maria Eduarda Barbosa,Gomes,RO,2024-09-18
30,Dr. Cauê Ramos,da Conceição,DF,2025-10-22
31,Anna Liz Leão,Nascimento,TO,2025-06-05
32,Helena Martins,Alves de Cavalcante,SP,2024-08-07
33,Clara Ribeiro,Aparecida Paulista,DF,2024-06-05
34,Benicio da Mata,Nascimento do Oeste,AL,2025-02-21
35,Josué Pereira,Nascimento Alegre,RR,2025-07-06
36,Ravy Sales,Araújo,PI,2026-01-20
37,Valentina Jesus,Gomes Paulista,MA,2024-11-23
38,Davi Miguel da Conceição,Silva,SC,2024-12-01
